,state,year,quarter,registered_user
637,puducherry,2021,Q2,369961
638,puducherry,2021,Q3,396609
639,puducherry,2021,Q4,423167
640,puducherry,2022,Q1,448051
641,puducherry,2022,Q2,471663
642,puducherry,2022,Q3,496570
643,puducherry,2022,Q4,520649
644,puducherry,2023,Q1,543819
645,puducherry,2023,Q2,564431
646,puducherry,2023,Q3,586550
647,puducherry,2023,Q4,607838
648,punjab,2018,Q1,847142
649,punjab,2018,Q2,1152190
650,punjab,2018,Q3,1473148
651,punjab,2018,Q4,1865715
652,punjab,2019,Q1,2226590
653,punjab,2019,Q2,2600112
654,punjab,2019,Q3,2962713
655,punjab,2019,Q4,3321742
656,punjab,2020,Q1,3739502
657,punjab,2020,Q2,4225481
658,punjab,2020,Q3,4694233
659,punjab,2020,Q4,5157868
660,punjab,2021,Q1,5568777
661,punjab,2021,Q2,5976548
662,punjab,2021,Q3,6434862
663,punjab,2021,Q4,6880103
664,punjab,2022,Q1,7302726
665,punjab,2022,Q2,7702100
666,punjab,2022,Q3,8097582
667,punjab,2022,Q4,8462753
668,punjab,2023,Q1,8837408
669,punjab,2023,Q2,9197055
670,punjab,2023,Q3,9555997
671,punjab,2023,Q4,9898002
672,rajasthan,2018,Q1,3158202
673,rajasthan,2018,Q2,4212964
674,rajasthan,2018,Q3,5175453
675,rajasthan,2018,Q4,6358738
676,rajasthan,2019,Q1,7712204
677,rajasthan,2019,Q2,8783935
678,rajasthan,2019,Q3,9797304
679,rajasthan,2019,Q4,10925031
680,rajasthan,2020,Q1,12142053
681,rajasthan,2020,Q2,13563201
682,rajasthan,2020,Q3,14969412
683,rajasthan,2020,Q4,16329494
684,rajasthan,2021,Q1,17661088
685,rajasthan,2021,Q2,18980985
686,rajasthan,2021,Q3,20499465
687,rajasthan,2021,Q4,21977202
688,rajasthan,2022,Q1,23398857
689,rajasthan,2022,Q2,24716181
690,rajasthan,2022,Q3,26042948
691,rajasthan,2022,Q4,27255927
692,rajasthan,2023,Q1,28523031
693,rajasthan,2023,Q2,29745609
694,rajasthan,2023,Q3,30997182
695,rajasthan,2023,Q4,32157348
696,sikkim,2018,Q1,20051
697,sikkim,2018,Q2,28097
698,sikkim,2018,Q3,37637
699,sikkim,2018,Q4,48538
700,sikkim,2019,Q1,58956
701,sikkim,2019,Q2,70999
702,sikkim,2019,Q3,82128
703,sikkim,2019,Q4,92972
704,sikkim,2020,Q1,104631
705,sikkim,2020,Q2,119921
706,sikkim,2020,Q3,134773
707,sikkim,2020,Q4,148543
708,sikkim,2021,Q1,160213
709,sikkim,2021,Q2,171740
710,sikkim,2021,Q3,184693
711,sikkim,2021,Q4,197407
712,sikkim,2022,Q1,209616
713,sikkim,2022,Q2,220994
714,sikkim,2022,Q3,232025
715,sikkim,2022,Q4,241968
716,sikkim,2023,Q1,252440
717,sikkim,2023,Q2,262728
718,sikkim,2023,Q3,272829
719,sikkim,2023,Q4,282575
720,tamil-nadu,2018,Q1,2104754
721,tamil-nadu,2018,Q2,2996036
722,tamil-nadu,2018,Q3,3900177
723,tamil-nadu,2018,Q4,5199878
